Block,Weight,WeightFactor,HybridEnergy,ENumer,EDenom,ETotal,E1Body,E2Body
13,9.9997304547539784e+02,1.0000155640013028e+03,-4.3182298404190339e-01,-1.1155648935753757e+03,9.9997304547539784e+02,-1.1155949639072762e+00,-1.7657888081789517e+00,6.5019384427167515e-01
14,9.9986923078436769e+02,1.0000155640013028e+03,-4.1114704413109693e-01,-1.1157764207002865e+03,9.9986923078436769e+02,-1.1159223489905705e+00,-1.7657888081789519e+00,6.4986645918838115e-01
15,1.0000000000000000e+03,1.0000111276785490e+03,-4.3954540679431636e-01,-1.1161395494291546e+03,1.0000000000000000e+03,-1.1161395494291546e+00,-1.7657888081789519e+00,6.4964925874979751e-01
16,1.0000544298122063e+03,1.0000111276785490e+03,-4.5046158815510068e-01,-1.1165747831164258e+03,1.0000544298122063e+03,-1.1165140114684557e+00,-1.7657888081789517e+00,6.4927479671049582e-01
17,9.9994048534856984e+02,1.0000111276785490e+03,-4.2776486697175525e-01,-1.1168008025614588e+03,9.9994048534856984e+02,-1.1168672725278770e+00,-1.7657888081789517e+00,6.4892153565107458e-01
18,9.9998747567558894e+02,1.0000111276785490e+03,-4.3720347578411661e-01,-1.1173064485537818e+03,9.9998747567558894e+02,-1.1173204422374716e+00,-1.7657888081789521e+00,6.4846836594148050e-01
19,1.0000176664234878e+03,1.0000111276785490e+03,-4.4331306527364073e-01,-1.1175424297662773e+03,1.0000176664234878e+03,-1.1175226871372292e+00,-1.7657888081789519e+00,6.4826612104172265e-01
20,1.0000000000000000e+03,1.0000517128671354e+03,-4.5017588686702337e-01,-1.1175625953552280e+03,1.0000000000000000e+03,-1.1175625953552282e+00,-1.7657888081789519e+00,6.4822621282372417e-01
21,9.9988133292431144e+02,1.0000517128671354e+03,-4.2659735011556082e-01,-1.1176731883173286e+03,9.9988133292431144e+02,-1.1178058350669635e+00,-1.7657888081789519e+00,6.4798297311198816e-01
22,9.9995972425511900e+02,1.0000517128671354e+03,-4.4234749886515212e-01,-1.1179174571447945e+03,9.9995972425511900e+02,-1.1179624839165834e+00,-1.7657888081789517e+00,6.4782632426236864e-01
23,9.9986358676389818e+02,1.0000517128671354e+03,-4.2323124966490355e-01,-1.1181165694839679e+03,9.9986358676389818e+02,-1.1182691161929406e+00,-1.7657888081789519e+00,6.4751969198601134e-01
24,9.9996437392878852e+02,1.0000517128671354e+03,-4.4351147186968359e-01,-1.1184771910584973e+03,9.9996437392878852e+02,-1.1185170394261952e+00,-1.7657888081789517e+00,6.4727176875275672e-01
25,1.0000000000000000e+03,9.9996462432158523e+02,-4.4371603589992470e-01,-1.1186136393863749e+03,1.0000000000000000e+03,-1.1186136393863748e+00,-1.7657888081789517e+00,6.4717516879257675e-01
26,9.9992306430016322e+02,9.9996462432158523e+02,-4.2856453717720300e-01,-1.1188116409710278e+03,9.9992306430016322e+02,-1.1188977241504812e+00,-1.7657888081789517e+00,6.4689108402847062e-01
27,9.9990351379850767e+02,9.9996462432158523e+02,-4.2486197013314980e-01,-1.1191465301638505e+03,9.9990351379850767e+02,-1.1192545227812569e+00,-1.7657888081789521e+00,6.4653428539769520e-01
28,9.9990814141548810e+02,9.9996462432158523e+02,-4.2595864991487259e-01,-1.1193214304070646e+03,9.9990814141548810e+02,-1.1194242591349768e+00,-1.7657888081789515e+00,6.4636454904397478e-01
29,9.9987578448793352e+02,9.9996462432158523e+02,-4.1970765443170116e-01,-1.1194978769911913e+03,9.9987578448793352e+02,-1.1196369532686703e+00,-1.7657888081789519e+00,6.4615185491028160e-01
30,1.0000000000000000e+03,9.9998613521154266e+02,-4.4187390473492694e-01,-1.1197907937468872e+03,1.0000000000000000e+03,-1.1197907937468872e+00,-1.7657888081789519e+00,6.4599801443206462e-01
31,1.0000104764111302e+03,9.9998613521154266e+02,-4.4418219428666972e-01,-1.1201255547880551e+03,1.0000104764111302e+03,-1.1201138200151641e+00,-1.7657888081789519e+00,6.4567498816378788e-01
32,9.9999473947588228e+02,9.9998613521154266e+02,-4.4119186133011468e-01,-1.1203034777017492e+03,9.9999473947588228e+02,-1.1203093711162153e+00,-1.7657888081789519e+00,6.4547943706273647e-01
33,9.9995958502110102e+02,9.9998613521154266e+02,-4.3448080755738616e-01,-1.1207008298668543e+03,9.9995958502110102e+02,-1.1207461247978392e+00,-1.7657888081789519e+00,6.4504268338111237e-01
34,1.0000077354669017e+03,9.9998613521154266e+02,-4.4431020022731338e-01,-1.1209773983750363e+03,1.0000077354669017e+03,-1.1209687271585493e+00,-1.7657888081789517e+00,6.4482008102040234e-01
35,1.0000000000000000e+03,1.0000268866695305e+03,-4.4839199348532227e-01,-1.1212029876481392e+03,1.0000000000000000e+03,-1.1212029876481393e+00,-1.7657888081789519e+00,6.4458582053081270e-01
36,9.9997326144501778e+02,1.0000268866695305e+03,-4.4329968753240345e-01,-1.1211598126342167e+03,9.9997326144501778e+02,-1.1211897916291056e+00,-1.7657888081789517e+00,6.4459901654984597e-01
37,9.9993612815929396e+02,1.0000268866695305e+03,-4.3615152942257579e-01,-1.1211503135447122e+03,9.9993612815929396e+02,-1.1212219280530971e+00,-1.7657888081789521e+00,6.4456688012585517e-01
38,9.9995440671208576e+02,1.0000268866695305e+03,-4.4005048899559646e-01,-1.1213268468384670e+03,9.9995440671208576e+02,-1.1213779741473029e+00,-1.7657888081789519e+00,6.4441083403164889e-01
39,9.9998219863092879e+02,1.0000268866695305e+03,-4.4586030707650182e-01,-1.1216463138637139e+03,9.9998219863092879e+02,-1.1216662810591578e+00,-1.7657888081789519e+00,6.4412252711979412e-01
40,1.0000000000000000e+03,9.9992115812159841e+02,-4.3400794522948588e-01,-1.1217278579888900e+03,1.0000000000000000e+03,-1.1217278579888901e+00,-1.7657888081789519e+00,6.4406095019006193e-01
41,1.0000246841019086e+03,9.9992115812159841e+02,-4.3921638910278010e-01,-1.1222049544664678e+03,1.0000246841019086e+03,-1.1221772545287576e+00,-1.7657888081789519e+00,6.4361155365019440e-01
42,1.0000627230510418e+03,9.9992115812159841e+02,-4.4718593679476021e-01,-1.1223574371779828e+03,1.0000627230510418e+03,-1.1222870439104442e+00,-1.7657888081789521e+00,6.4350176426850769e-01
43,1.0000040114079568e+03,9.9992115812159841e+02,-4.3596508703002590e-01,-1.1221945677048725e+03,1.0000040114079568e+03,-1.1221900661427120e+00,-1.7657888081789515e+00,6.4359874203623946e-01
44,1.0000528018008310e+03,9.9992115812159841e+02,-4.4595946609587678e-01,-1.1223100841091418e+03,1.0000528018008310e+03,-1.1222508272444791e+00,-1.7657888081789519e+00,6.4353798093447268e-01
45,1.0000000000000001e+03,1.0000948633322469e+03,-4.5463245019245291e-01,-1.1221174183406956e+03,1.0000000000000001e+03,-1.1221174183406954e+00,-1.7657888081789517e+00,6.4367138983825645e-01
46,9.9992289550392877e+02,1.0000948633322469e+03,-4.3960069185762934e-01,-1.1220295416524605e+03,9.9992289550392877e+02,-1.1221160618459425e+00,-1.7657888081789519e+00,6.4367274633300942e-01
47,9.9996862970811139e+02,1.0000948633322469e+03,-4.4909354648240191e-01,-1.1223917213449954e+03,9.9996862970811139e+02,-1.1224269322054823e+00,-1.7657888081789517e+00,6.4336187597346950e-01
48,9.9990364015764624e+02,1.0000948633322469e+03,-4.3653880846292142e-01,-1.1225441003302608e+03,9.9990364015764624e+02,-1.1226522789268762e+00,-1.7657888081789519e+00,6.4313652925207554e-01
49,9.9994299991315688e+02,1.0000948633322469e+03,-4.4477002062203114e-01,-1.1225173545841840e+03,9.9994299991315688e+02,-1.1225813418181561e+00,-1.7657888081789519e+00,6.4320746636079595e-01
50,1.0000000000000000e+03,9.9994354405424542e+02,-4.4530206942024664e-01,-1.1227534999242748e+03,1.0000000000000000e+03,-1.1227534999242748e+00,-1.7657888081789517e+00,6.4303530825467703e-01
51,9.9994343198900253e+02,9.9994354405424542e+02,-4.3455373670017461e-01,-1.1227413276407733e+03,9.9994343198900253e+02,-1.1228048424774506e+00,-1.7657888081789521e+00,6.4298396570150129e-01
52,9.9995701727703886e+02,9.9994354405424542e+02,-4.3768902093532597e-01,-1.1227221869245602e+03,9.9995701727703886e+02,-1.1227704466556179e+00,-1.7657888081789521e+00,6.4301836152333447e-01
53,9.9993560890010281e+02,9.9994354405424542e+02,-4.3389012543443745e-01,-1.1231301230817053e+03,9.9993560890010281e+02,-1.1232024473226956e+00,-1.7657888081789517e+00,6.4258636085625631e-01
54,9.9997839695139692e+02,9.9994354405424542e+02,-4.4277889432355877e-01,-1.1232046949217065e+03,9.9997839695139692e+02,-1.1232289600915237e+00,-1.7657888081789517e+00,6.4255984808742839e-01
55,1.0000000000000000e+03,9.9995780091229369e+02,-4.3923483175253353e-01,-1.1236804257226295e+03,1.0000000000000000e+03,-1.1236804257226296e+00,-1.7657888081789519e+00,6.4210838245632229e-01
56,9.9998798874738304e+02,9.9995780091229369e+02,-4.3732370989685737e-01,-1.1236520158932631e+03,9.9998798874738304e+02,-1.1236655125235908e+00,-1.7657888081789517e+00,6.4212329565536097e-01
57,1.0000024752685944e+03,9.9995780091229369e+02,-4.4070758990949749e-01,-1.1240164828675599e+03,1.0000024752685944e+03,-1.1240137006317472e+00,-1.7657888081789519e+00,6.4177510754720479e-01
58,9.9999578284602194e+02,9.9995780091229369e+02,-4.3982940604323700e-01,-1.1240716578920851e+03,9.9999578284602194e+02,-1.1240763982953397e+00,-1.7657888081789517e+00,6.4171240988361200e-01
59,1.0000768071040740e+03,9.9995780091229369e+02,-4.5649048178765311e-01,-1.1243272166072561e+03,1.0000768071040740e+03,-1.1242408669219861e+00,-1.7657888081789519e+00,6.4154794125696557e-01
60,1.0000000000000000e+03,1.0000323873061504e+03,-4.4818106172898003e-01,-1.1247006031793067e+03,1.0000000000000000e+03,-1.1247006031793068e+00,-1.7657888081789517e+00,6.4108820499964514e-01
61,9.9987433794465437e+02,1.0000323873061504e+03,-4.2366464688189437e-01,-1.1246902057135999e+03,9.9987433794465437e+02,-1.1248315543586382e+00,-1.7657888081789519e+00,6.4095725382031388e-01
62,9.9990385339309682e+02,1.0000323873061504e+03,-4.3001502378618128e-01,-1.1248520865683790e+03,9.9990385339309682e+02,-1.1249602476790943e+00,-1.7657888081789517e+00,6.4082856049985737e-01
63,9.9992915345688107e+02,1.0000323873061504e+03,-4.3559057708367582e-01,-1.1253907917889826e+03,9.9992915345688107e+02,-1.1254705274852372e+00,-1.7657888081789521e+00,6.4031828069371466e-01
64,9.9988809908472763e+02,1.0000323873061504e+03,-4.2799276415357534e-01,-1.1257555037363818e+03,9.9988809908472763e+02,-1.1258814909057024e+00,-1.7657888081789519e+00,6.3990731727324934e-01
65,1.0000000000000000e+03,9.9999070958997379e+02,-4.4915134420312408e-01,-1.1262918152264019e+03,1.0000000000000000e+03,-1.1262918152264019e+00,-1.7657888081789517e+00,6.3949699295254958e-01
66,9.9994211689872679e+02,9.9999070958997379e+02,-4.3828463151132713e-01,-1.1262567314396410e+03,9.9994211689872679e+02,-1.1263219264457756e+00,-1.7657888081789517e+00,6.3946688173317623e-01
67,9.9994894567029212e+02,9.9999070958997379e+02,-4.4018644963721965e-01,-1.1262717565127489e+03,9.9994894567029212e+02,-1.1263292604981741e+00,-1.7657888081789521e+00,6.3945954768077795e-01
68,9.9995458852655997e+02,9.9999070958997379e+02,-4.4213812299347288e-01,-1.1263869549920141e+03,9.9995458852655997e+02,-1.1264381082062467e+00,-1.7657888081789519e+00,6.3935069997270499e-01
69,1.0000229636801977e+03,9.9999070958997379e+02,-4.5645680842935810e-01,-1.1269036824658010e+03,1.0000229636801977e+03,-1.1268778052042605e+00,-1.7657888081789519e+00,6.3891100297469161e-01
70,1.0000000000000001e+03,9.9993624189372963e+02,-4.3988334144753188e-01,-1.1265250989856584e+03,1.0000000000000001e+03,-1.1265250989856581e+00,-1.7657888081789517e+00,6.3926370919329345e-01
71,1.0000239719059609e+03,9.9993624189372963e+02,-4.4540865880292174e-01,-1.1266723030006501e+03,1.0000239719059609e+03,-1.1266452951655830e+00,-1.7657888081789517e+00,6.3914351301336869e-01
72,9.9996506035968150e+02,9.9993624189372963e+02,-4.3439069179432777e-01,-1.1269039609392476e+03,9.9996506035968150e+02,-1.1269433359340644e+00,-1.7657888081789519e+00,6.3884547224488764e-01
73,9.9994483539565965e+02,9.9993624189372963e+02,-4.3099649459165995e-01,-1.1269410541801158e+03,9.9994483539565965e+02,-1.1270032248671058e+00,-1.7657888081789517e+00,6.3878558331184565e-01
74,9.9998771108134997e+02,9.9993624189372963e+02,-4.4071614457041730e-01,-1.1276070906680457e+03,9.9998771108134997e+02,-1.1276209479101427e+00,-1.7657888081789521e+00,6.3816786026880945e-01
75,9.9999999999999989e+02,9.9999593024581145e+02,-4.4313412177382261e-01,-1.1281621391976255e+03,9.9999999999999989e+02,-1.1281621391976255e+00,-1.7657888081789515e+00,6.3762666898132614e-01
76,1.0000127650080776e+03,9.9999593024581145e+02,-4.4641367739322046e-01,-1.1285649937232233e+03,1.0000127650080776e+03,-1.1285505877658546e+00,-1.7657888081789519e+00,6.3723822041309752e-01
77,1.0000082869075959e+03,9.9999593024581145e+02,-4.4611337263277950e-01,-1.1289232017460522e+03,1.0000082869075959e+03,-1.1289138465413222e+00,-1.7657888081789519e+00,6.3687496163763013e-01
78,9.9987290536023181e+02,9.9999593024581145e+02,-4.2016479260148248e-01,-1.1291414988693246e+03,9.9987290536023181e+02,-1.1292850249427653e+00,-1.7657888081789519e+00,6.3650378323618662e-01
79,9.9994056920485673e+02,9.9999593024581145e+02,-4.3495266997210930e-01,-1.1290042367005342e+03,9.9994056920485673e+02,-1.1290713383079434e+00,-1.7657888081789521e+00,6.3671746987100841e-01
80,1.0000000000000000e+03,9.9994247436747492e+02,-4.3631616980848958e-01,-1.1285550325531317e+03,1.0000000000000000e+03,-1.1285550325531317e+00,-1.7657888081789519e+00,6.3723377562582006e-01
81,9.9997615771257756e+02,9.9994247436747492e+02,-4.3257023010676937e-01,-1.1288094263656255e+03,9.9997615771257756e+02,-1.1288363404061064e+00,-1.7657888081789519e+00,6.3695246777284553e-01
82,9.9996044275074087e+02,9.9994247436747492e+02,-4.3115744351236462e-01,-1.1287105777722659e+03,9.9996044275074087e+02,-1.1287552282241813e+00,-1.7657888081789523e+00,6.3703357995477072e-01
83,1.0000690964516828e+03,9.9994247436747492e+02,-4.5365288961979056e-01,-1.1295090168235679e+03,1.0000690964516828e+03,-1.1294309771506261e+00,-1.7657888081789519e+00,6.3635783102832577e-01
84,1.0000591922744613e+03,9.9994247436747492e+02,-4.5317446145267337e-01,-1.1294768021006885e+03,1.0000591922744613e+03,-1.1294099497569630e+00,-1.7657888081789519e+00,6.3637885842198882e-01
85,1.0000000000000000e+03,1.0000157034073550e+03,-4.4550211782348820e-01,-1.1293679144363964e+03,1.0000000000000000e+03,-1.1293679144363964e+00,-1.7657888081789519e+00,6.3642089374255550e-01
86,1.0000945770898919e+03,1.0000157034073550e+03,-4.6531331462975384e-01,-1.1294222861083867e+03,1.0000945770898919e+03,-1.1293154787368380e+00,-1.7657888081789521e+00,6.3647332944211399e-01
87,9.9991960389972360e+02,1.0000157034073550e+03,-4.3137266890743853e-01,-1.1294360375513256e+03,9.9991960389972360e+02,-1.1295268471049904e+00,-1.7657888081789519e+00,6.3626196107396149e-01
88,9.9990483513475738e+02,1.0000157034073550e+03,-4.2927427148420727e-01,-1.1291973950467520e+03,9.9990483513475738e+02,-1.1293048651920659e+00,-1.7657888081789519e+00,6.3648394298688593e-01
89,9.9999440427728598e+02,1.0000157034073550e+03,-4.4817406746999555e-01,-1.1291344437485736e+03,9.9999440427728598e+02,-1.1291407621071836e+00,-1.7657888081789517e+00,6.3664804607176828e-01
90,9.9999999999999989e+02,1.0000250904404306e+03,-4.5507277660682771e-01,-1.1295088184449023e+03,9.9999999999999989e+02,-1.1295088184449023e+00,-1.7657888081789515e+00,6.3627998973404942e-01
91,9.9996213539925725e+02,1.0000250904404306e+03,-4.4840017633908524e-01,-1.1295022561970270e+03,9.9996213539925725e+02,-1.1295450259684563e+00,-1.7657888081789517e+00,6.3624378221049560e-01
92,9.9995350589947930e+02,1.0000250904404306e+03,-4.4758486111551210e-01,-1.1297888667205318e+03,9.9995350589947930e+02,-1.1298413976800479e+00,-1.7657888081789517e+00,6.3594741049890380e-01
93,1.0000081512683225e+03,1.0000250904404306e+03,-4.5931616645904472e-01,-1.1298491680955981e+03,1.0000081512683225e+03,-1.1298399584669352e+00,-1.7657888081789521e+00,6.3594884971201704e-01
94,9.9994784474462665e+02,1.0000250904404306e+03,-4.4822107877655437e-01,-1.1299422492446438e+03,9.9994784474462665e+02,-1.1300011847450064e+00,-1.7657888081789519e+00,6.3578762343394535e-01
95,1.0000000000000000e+03,9.9998860208022802e+02,-4.5723286358151199e-01,-1.1301590795320299e+03,1.0000000000000000e+03,-1.1301590795320300e+00,-1.7657888081789519e+00,6.3562972864692235e-01
